SECTION,Script #,Type,Topic,Week,Day,Lead Magnet Keyword,Status
SCRIPT,54,Story,The artist who became an automation builder (8 mediums + patience),Week 3,Sat,AUTOMATION or SEQUENCE,Written
SCRIPT,55,Story,What rejection actually teaches you,Week 4,Sat,AUDIT (default CTA),Written
SCRIPT,56,Story,The 2 AM debugging sessions — when you cant sleep until its fixed,Week 1,Sat,AUDIT (default CTA),Written
SCRIPT,57,Contrarian,Learn AI tools is bad advice — learn systems instead,Week 2,Sat,TOOLS,Written
SCRIPT,58,Contrarian,You dont need a CRM until you have 5 clients,Week 3,Sat,TEMPLATE or CRM,Written
SCRIPT,59,Contrarian,Courses are overrated — build 5 projects instead,Week 4,Sat,PRICING,Written
SCRIPT,60,Contrarian,90% of people have the capability — they just stopped asking how,Week 5,Sun,AUDIT (default CTA),Written


SECTION,Keyword,Type,Name,Description,PDF File,Status,
LEAD MAGNET,TOOLS,DM,The AI Freelancer Tool Stack,Every tool organized by category with pricing and free alternatives,lead_magnets/pdfs/tools_stack.pdf,Built,
LEAD MAGNET,PRICING,DM,Value Pricing Discovery Call Script,Word-for-word script for discovery calls,lead_magnets/pdfs/pricing_script.pdf,Built,
LEAD MAGNET,SOP,DM,AI SOP Generator Prompt Pack,5 copy-paste prompts that turn transcripts into SOPs,lead_magnets/pdfs/sop_prompts.pdf,Built,
LEAD MAGNET,CLAUDE,DM,CLAUDE.md Mega Pack (10 Files),10 CLAUDE.md files: proposal writer / cold email / SOP / content / CRM / onboarding / discovery / reports / scope / manager,lead_magnets/pdfs/claude_md_pack.pdf,Built,
LEAD MAGNET,AUDIT,DM,Free 15-Min Automation Audit,Live call — show what to automate first,Calendly link,Built,
LEAD MAGNET,CRM,DM,ClickUp Freelancer CRM Template,Pipeline / client tracking / automations / dashboard,lead_magnets/pdfs/clickup_crm.pdf,Built,
LEAD MAGNET,AUTOMATION,DM,5 n8n Workflow Templates,Lead follow-up / weekly reports / onboarding / content repurposer / invoice reminders,lead_magnets/pdfs/n8n_guide.pdf,Built,
LEAD MAGNET,SEQUENCE,DM,n8n 3-Email Follow-Up,Working automation + 3 email templates,lead_magnets/pdfs/n8n_guide.pdf,Built,
LEAD MAGNET,PROFILE,Comment,Upwork Profile Template,Fill-in-the-blank headline / bio / portfolio with 3 experience levels,lead_magnets/pdfs/upwork_profile.pdf,Built,
LEAD MAGNET,PROPOSAL,Comment,4-Line Proposal Template,The format + 5 niche examples + common mistakes,lead_magnets/pdfs/proposal_template.pdf,Built,
LEAD MAGNET,HOOKS,Comment,50 Proven Video Hooks,50 hooks in 5 categories with fill-in-the-blank format,lead_magnets/pdfs/50_hooks.pdf,Built,
LEAD MAGNET,EMAILS,Comment,10 Cold Email Templates,First outreach / follow-ups / testimonial / referral / re-engage / check-in,lead_magnets/pdfs/cold_emails.pdf,Built,
LEAD MAGNET,START,Link in Bio,Zero-to-First-Client 7-Day Guide,Day-by-day plan with tools and templates,lead_magnets/pdfs/starter_guide.pdf,Built,
LEAD MAGNET,NICHE,Link in Bio,Niche Selection Worksheet,Scoring framework: skills x industries x demand x budget,lead_magnets/pdfs/niche_worksheet.pdf,Built,
LEAD MAGNET,CV,Portfolio,Professional CV / Resume,Full CV with metrics / results / methodology,lead_magnets/pdfs/cv_tarun.pdf,Built,


PINNED COMMENT FOR EVERY POST,,,,,,,
,,,,,,,
PINNED COMMENT TEXT:,"Free resources — just comment or DM the keyword:

TOOLS — My complete AI freelancer tool stack
PROFILE — Upwork profile fill-in template
PROPOSAL — 4-line proposal template that gets replies
TEMPLATE — Notion business-in-a-box workspace
CRM — ClickUp freelancer CRM template
EMAILS — 10 cold email templates
AUTOMATION — 5 n8n workflow templates
SEQUENCE — 3-email follow-up automation
CLAUDE — 10 CLAUDE.md files (proposal writer + SOP generator + content writer + more)
SOP — AI SOP generator prompt pack
HOOKS — 50 proven short-form video hooks
PRICING — Value pricing discovery call script
NICHE — Niche selection worksheet with scoring
START — Zero-to-first-client 7-day guide

Or skip the DIY:
AUDIT — Free 15-min call. I will show you what to automate first.

Everything above is free. No catch.",,,,,,
